,id,ministerio,entidad,sigla,condicion
46,47.0,"Ministerio de Economía, Fomento y Turismo",Superintendencia de Insolvencia y Reemprendimiento,SUPERIR,Organismo Descentralizado
47,48.0,"Ministerio de Economía, Fomento y Turismo",Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala,INDESPA,Organismo Descentralizado
48,49.0,"Ministerio de Economía, Fomento y Turismo",Subsecretaría de Pesca y Acuicultura,,Organismo Centralizado
49,50.0,"Ministerio de Economía, Fomento y Turismo",Servicio Nacional del Consumidor,SERNAC,Organismo Descentralizado
50,51.0,"Ministerio de Economía, Fomento y Turismo",Fiscalía Nacional Económica,FNE,Organismo Descentralizado
51,52.0,"Ministerio de Economía, Fomento y Turismo",Instituto Nacional de Estadísticas,INE,Organismo Descentralizado
52,53.0,"Ministerio de Economía, Fomento y Turismo",Servicio Nacional de Turismo,SERNATUR,Organismo Descentralizado
53,54.0,"Ministerio de Economía, Fomento y Turismo",Agencia de Promoción de la Inversión Extranjera,,Organismo Descentralizado
54,55.0,"Ministerio de Economía, Fomento y Turismo",Instituto Nacional de Propiedad Industrial,INAPI,Organismo Descentralizado
55,56.0,"Ministerio de Economía, Fomento y Turismo",Corporación de Fomento de la Producción,CORFO,Organismo Descentralizado
56,57.0,"Ministerio de Economía, Fomento y Turismo",Servicio Nacional de Pesca y Acuicultura,SERNAPESCA,Organismo Centralizado
57,58.0,Ministerio Secretaría General de la Presidencia de la República,Subsecretaría,,Organismo Centralizado
58,59.0,Ministerio Secretaría General de la Presidencia de la República,Defensoría de los Derechos de la Niñez,,Organismo Descentralizado
59,60.0,Ministerio Secretaría General de la Presidencia de la República,Instituto Nacional de Derechos Humanos,INDH,Organismo Descentralizado
60,61.0,Ministerio Secretaría General de la Presidencia de la República,Consejo para la Transparencia,CPLT,Organismo Descentralizado
61,62.0,Ministerio De Hacienda,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
62,63.0,Ministerio De Hacienda,Dirección de Presupuestos,DIPRES,Organismo Centralizado
63,64.0,Ministerio De Hacienda,Servicio de Impuestos Internos,SII,Organismo Descentralizado
64,65.0,Ministerio De Hacienda,Servicio de Tesorerías,TGR,Organismo Centralizado
65,66.0,Ministerio De Hacienda,Servicio Nacional de Aduanas,SNA,Organismo Descentralizado
66,67.0,Ministerio De Hacienda,Unidad de Análisis Financiero,UAF,Organismo Descentralizado
67,68.0,Ministerio De Hacienda,Superintendencia de Casinos de Juego,,Organismo Descentralizado
68,69.0,Ministerio De Hacienda,Casa de Moneda de Chile,,
69,70.0,Ministerio De Hacienda,Comisión para el Mercado Financiero,CMF,Organismo Descentralizado
70,71.0,Ministerio De Hacienda,Subsecretaría,,Organismo Centralizado
71,72.0,Ministerio De Hacienda,Dirección Nacional del Servicio Civil,,Organismo Descentralizado
72,73.0,Ministerio De Hacienda,Dirección de Compras y Contratación Pública,ChileCOMPRA,Organismo Descentralizado
73,74.0,Ministerio De Hacienda,Banco de Chile,,Empresa Pública Creada por Ley
74,75.0,Ministerio De Hacienda,Consejo de Defensa del Estado,CDE,
75,76.0,Ministerio De Educación,Agencia de Calidad de la Educación,,Organismo Descentralizado
76,77.0,Ministerio De Educación,Junta Nacional de Auxilio Escolar y Becas,JUNAEB,Organismo Descentralizado
77,78.0,Ministerio De Educación,Junta Nacional de Jardines Infantiles,JUNJI,Organismo Descentralizado
78,79.0,Ministerio De Educación,Comisión Nacional de Investigación Científica y Tecnológica,CONICYT,Organismo Descentralizado
79,80.0,Ministerio De Educación,Servicios Locales de Educación Pública,SLE,Organismo Descentralizado
80,81.0,Ministerio De Educación,Consejo de Rectores de las Universidades Chilenas,,Organismo Descentralizado
81,82.0,Ministerio De Educación,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
82,83.0,Ministerio De Educación,Subsecretaría de Educación,,Organismo Centralizado
83,84.0,Ministerio De Educación,Subsecretaría de Educación Parvularia,,Organismo Centralizado
84,85.0,Ministerio De Educación,Subsecretaría de Educación Superior,,Organismo Centralizado
85,86.0,Ministerio De Educación,Consejo de Calificación Cinematográfica,,Organismo Centralizado
86,87.0,Ministerio De Educación,Dirección de Educación Pública,,Organismo Centralizado
87,88.0,Ministerio De Educación,Superintendencia de Educación Escolar,,Organismo Descentralizado
88,89.0,Ministerio De Educación,Consejo Nacional de Educación,CNED,Organismo Descentralizado
89,90.0,Ministerio De Educación,Comisión Nacional de Acreditación,CNA,Organismo Descentralizado
90,91.0,Ministerio De Educación,Comisión Administradora del Sistema de Créditos para Estudios Superiores,,Organismo Descentralizado
91,92.0,Ministerio De Educación,Superintendencia de Educación Superior,,Organismo Descentralizado
92,93.0,Ministerio De Educación,Universidad de Chile,,Organismo Descentralizado
93,94.0,Ministerio De Educación,Universidad de Santiago de Chile,,Organismo Descentralizado
94,95.0,Ministerio De Educación,Universidad de Tarapacá,,Organismo Descentralizado
95,96.0,Ministerio De Educación,Universidad de Antofagasta,,Organismo Descentralizado
96,97.0,Ministerio De Educación,Universidad de Atacama,,Organismo Descentralizado
97,98.0,Ministerio De Educación,Universidad de la Serena,,Organismo Descentralizado
98,99.0,Ministerio De Educación,Universidad de Valparaíso,,Organismo Descentralizado
99,100.0,Ministerio De Educación,Universidad de Talca,,Organismo Descentralizado
100,101.0,Ministerio De Educación,Universidad del Bíobío,,Organismo Descentralizado
101,102.0,Ministerio De Educación,Universidad de la Frontera,,Organismo Descentralizado
102,103.0,Ministerio De Educación,Universidad de Aysén,,Organismo Descentralizado
103,104.0,Ministerio De Educación,Universidad de O´Higgins,,Organismo Descentralizado
104,105.0,Ministerio De Educación,Universidad de Magallanes,,Organismo Descentralizado
105,106.0,Ministerio De Educación,Universidad Metropolitana de Ciencias de la Educación,,Organismo Descentralizado
106,107.0,Ministerio De Educación,Universidad de Playa Ancha de Ciencias de la Educación,,Organismo Descentralizado
107,108.0,Ministerio De Educación,Universidad Tecnológica Metropolitana,,Organismo Descentralizado
108,109.0,Ministerio De Educación,Universidad Arturo Prat,,Organismo Descentralizado
109,110.0,Ministerio De Educación,Universidad de los Lagos,,Organismo Descentralizado
110,111.0,Ministerio De Educación,Centros de Formación Técnica Estatales,CFT,Organismo Descentralizado
111,112.0,Ministerio De Desarrollo Social y Familia,Fondo de Solidaridad e Inversión Social,FOSIS,Organismo Descentralizado
112,113.0,Ministerio De Desarrollo Social y Familia,Corporación Nacional de Desarrollo Indígena,CONADI,Organismo Descentralizado
113,114.0,Ministerio De Desarrollo Social y Familia,Instituto Nacional de la Juventud,INJUV,Organismo Descentralizado
114,115.0,Ministerio De Desarrollo Social y Familia,Servicio Nacional del Adulto Mayor,SENAMA,Organismo Descentralizado
115,116.0,Ministerio De Desarrollo Social y Familia,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
116,117.0,Ministerio De Desarrollo Social y Familia,Subsecretaría de Evaluación Social,,Organismo Centralizado
117,118.0,Ministerio De Desarrollo Social y Familia,Subsecretaría de la Niñez,,Organismo Centralizado
118,119.0,Ministerio De Desarrollo Social y Familia,Servicio Nacional de la Discapacidad,SENADIS,Organismo Descentralizado
119,120.0,Ministerio De Justicia,Secretarías Regionales Ministeriales,,Organismo Desconcentrado Territorialmente
120,121.0,Ministerio De Justicia,Subsecretaría de Justicia,,Organismo Centralizado
121,122.0,Ministerio De Justicia,Subsecretaría de Derechos Humanos,,Organismo Centralizado
122,123.0,Ministerio De Justicia,Gendarmería de Chile,,Organismo Centralizado
123,124.0,Ministerio De Justicia,Servicio de Registro Civil e Identificación,,Organismo Descentralizado
124,125.0,Ministerio De Justicia,Servicio Nacional de Menores,SENAME,Organismo Centralizado
125,126.0,Ministerio De Justicia,Servicio Médico Legal,SML,Organismo Centralizado
126,127.0,Ministerio De Justicia,Fiscalía Nacional de Quiebras,,
127,128.0,Ministerio De Justicia,Corporaciones de Asistencia Judicial,,Organismo Descentralizado
128,129.0,Ministerio De Justicia,Defensoría Penal Pública,,Organismo Descentralizado
129,130.0,Ministerio De Justicia,Sistema Nacional de Mediación Familiar,,
130,131.0,Ministerio De Obras Públicas,Dirección General de Obras Públicas,DGOP,Organismo Centralizado
131,132.0,Ministerio De Obras Públicas,Dirección de Aeropuertos,DAP,Organismo Centralizado
132,133.0,Ministerio De Obras Públicas,Dirección de Arquitectura,DA ,Organismo Centralizado
133,134.0,Ministerio De Obras Públicas,Dirección de Obras Portuarias,DOP,Organismo Centralizado
134,135.0,Ministerio De Obras Públicas,Dirección de Obras Hidráulicas,DOH,Organismo Centralizado
135,136.0,Ministerio De Obras Públicas,Dirección de Vialidad,DV,Organismo Centralizado
136,137.0,Ministerio De Obras Públicas,Dirección de Contabilidad y Finanzas,DCyF,Organismo Centralizado
137,138.0,Ministerio De Obras Públicas,Dirección de Planeamiento,DIRPLAN,Organismo Centralizado
138,139.0,Ministerio De Obras Públicas,Fiscalía del Ministerio de Obras Públicas,,Organismo Centralizado
139,140.0,Ministerio De Obras Públicas,Dirección General de Concesiones de Obras Públicas,DGCOP,Organismo Centralizado
